id,region,municipality,settlement,type,oktmo
4373,Рязанская область,Шацкий район,Мишутино,д,61656454211
4417,Рязанская область,Спасский район,Каменка,д,61646476126
4428,Рязанская область,Касимовский район,Семенчуково,д,61608421166
4460,Рязанская область,Касимовский район,Кондраково,д,61608439136
4470,Рязанская область,Михайловский район,Слободка,д,61617467101
4612,Рязанская область,Путятинский район,Александр-Нетрош,п,61626412146
4647,Рязанская область,Шиловский район,Макшеево,д,61658424126
4650,Рязанская область,Милославский район,Воскресенское-1,д,61615408126
4667,Рязанская область,Сасовский район,Кобяково,с,61642424126
4710,Рязанская область,Рязанский район,Большое Шапово,д,61634498116
4716,Рязанская область,Скопинский район,Писарево,д,61644415186
4737,Рязанская область,Сараевский район,Хирино,д,61640430131
4739,Рязанская область,Путятинский район,Березовка,п,61626403141
4778,Рязанская область,Александро-Невский район,Чибизовка,д,61620460161
4872,Рязанская область,Ряжский район,Дмитриевка,д,61630450106
4942,Рязанская область,Клепиковский район,Иншаково,д,61610451121
4962,Рязанская область,Сасовский район,Грачевка,п,61642464111
5012,Рязанская область,Чучковский район,Земледелец,д,61653440136
5088,Рязанская область,Рыбновский район,Сидоровка,д,61627424116
5117,Рязанская область,Шиловский район,Некрасовка,д,61658403126
5171,Рязанская область,Кадомский район,Курмановы Починки,д,61606430121
5184,Рязанская область,Касимовский район,Поповские Выселки,д,61608406131
5206,Рязанская область,Кораблинский район,Малые Выселки,п,61612464141
5207,Рязанская область,Сапожковский район,Большая Дорога,сл,61637151161
5323,Рязанская область,Кадомский район,Ильиновка,п,61606151131
5353,Рязанская область,Сапожковский район,Сапожок,рп,61637151051
5399,Рязанская область,Сараевский район,Айкановка,д,61640451166
5464,Рязанская область,Касимовский район,Ермолово,с,61608424101
5500,Рязанская область,Ухоловский район,Колобовка,д,61650455136
5516,Рязанская область,Клепиковский район,Шаранино,д,61610475136
5546,Рязанская область,Шиловский район,Малые Пекселы,д,61658445161
5633,Рязанская область,Рязанский район,Гнетово,д,61634427116
5638,Рязанская область,Касимовский район,Полутино,д,61608442121
5683,Рязанская область,Скопинский район,Гусиловка,д,61644496206
5818,Рязанская область,Кадомский район,Енгазино,д,61606410131
5855,Рязанская область,Рязанский район,Семено-Никольское,д,61634495141
5883,Рязанская область,Пителинский район,Церлевский Ункор,д,61623425156
5910,Рязанская область,Спасский район,Лесхоза,п,61646498171
5939,Рязанская область,Чучковский район,Шарапово,с,61653405116
5944,Рязанская область,Город Сасово,Сасово,г,61710000001
5992,Рязанская область,Кораблинский район,Неретино,с,61612460106
6006,Рязанская область,Чучковский район,Аладьино,с,61653405101
6072,Рязанская область,Скопинский район,Гремячка,с,61644488116
6166,Рязанская область,Шиловский район,Павловка,д,61658445151
6205,Рязанская область,Пронский район,Поповка,д,61625405151
6248,Рязанская область,Старожиловский район,Михалково,д,61648420161
6264,Рязанская область,Касимовский район,Ярыгино,д,61608439171
6283,Рязанская область,Клепиковский район,Летники,ст,61610451136
6492,Рязанская область,Касимовский район,Озерный,п,61608439181
6558,Рязанская область,Сасовский район,Каменка,д,61642464156
6570,Рязанская область,Касимовский район,Кулово,д,61608480111
6701,Рязанская область,Шацкий район,Студеновка,д,61656454216
6787,Рязанская область,Клепиковский район,Павлово,д,61610418151
6804,Рязанская область,Рыбновский район,Ногино,с,61627404121
7054,Рязанская область,Сараевский район,Муравлянка,с,61640448101
7165,Рязанская область,Шиловский район,Новая Жизнь,п,61658151116
7188,Рязанская область,Рязанский район,Высоковские Дворики,д,61634478121
7239,Рязанская область,Сапожковский район,Дмитриевка,д,61637405141
7401,Рязанская область,Сараевский район,Конаковка,д,61640451121
7443,Рязанская область,Шацкий район,Выша,п,61656439141
7519,Рязанская область,Клепиковский район,Ветчаны,д,61610448196
7655,Рязанская область,Ряжский район,Чирково,с,61630460111
7708,Рязанская область,Сасовский район,Молодежный,п,61642420141
7733,Рязанская область,Касимовский район,Сорокино,д,61608474126
7853,Рязанская область,Старожиловский район,Быково,д,61648460106
7906,Рязанская область,Путятинский район,Караулово,с,61626403106
7962,Рязанская область,Кораблинский район,Асники,д,61612448121
8103,Рязанская область,Пителинский район,Большие Мочилы,с,61623435106
8151,Рязанская область,Ермишинский район,Карачево,д,61602440131
8157,Рязанская область,Кораблинский район,Каменка,д,61612448166
8299,Рязанская область,Михайловский район,Бутырки,д,61617418181
8337,Рязанская область,Кадомский район,Вознесеновка,д,61606420131
8450,Рязанская область,Клепиковский район,Немятово,д,61610448131
8468,Рязанская область,Касимовский район,Дронино,д,61608480131
8544,Рязанская область,Пителинский район,Савро-Мамышево,с,61623435116
8602,Рязанская область,Ряжский район,Гремячка,с,61630405116
8616,Рязанская область,Захаровский район,Дермелеево,д,61604465141
8798,Рязанская область,Милославский район,Дегтярка,с,61615412106
8802,Рязанская область,Скопинский район,Дегтярка,д,61644496211
8840,Рязанская область,Михайловский район,Елизаветино,д,61617418126
8841,Рязанская область,Пронский район,Ланинка,д,61625455146
8847,Рязанская область,Пителинский район,Малые Мочилы,с,61623435141
8881,Рязанская область,Касимовский район,Кульчуково,д,61608412126
8912,Рязанская область,Александро-Невский район,Аннино,п,61620410196
9029,Рязанская область,Сапожковский район,Максимовка,п,61637151126
9107,Рязанская область,Клепиковский район,Мелюшово,д,61610403171
9236,Рязанская область,Путятинский район,Городок,п,61626432116
9294,Рязанская область,Шиловский район,Санское,с,61658472101
9325,Рязанская область,Милославский район,Казначеевка,д,61615422146
9496,Рязанская область,Сараевский район,Леонтьевка,п,61640448151
9498,Рязанская область,Чучковский район,Ильино,д,61653405126
9613,Рязанская область,Касимовский район,Николаевское,с,61608453111
9625,Рязанская область,Рязанский район,Казначеево,д,61634478131
10060,Рязанская область,Рыбновский район,Ильинское,с,61627408136
10085,Рязанская область,Михайловский район,Осовец,д,61617418141
10107,Рязанская область,Скопинский район,Нагиши,с,61644415156
10110,Рязанская область,Михайловский район,Хавертово,с,61617457121
10365,Рязанская область,Старожиловский район,Назарьевская Слобода,д,61648420171
10422,Рязанская область,Скопинский район,Нюховец,с,61644415136
10530,Рязанская область,Путятинский район,Екатериновка,с,61626412111
10550,Рязанская область,Сараевский район,Озериха,д,61640469111
10579,Рязанская область,Спасский район,Крахмального завода,п,61646409161
10693,Рязанская область,Кораблинский район,Петрово,д,61612428116
10744,Рязанская область,Рязанский район,Приозерный,п,61634436146
10835,Рязанская область,Ухоловский район,Ухолово,рп,61650151051
10946,Рязанская область,Клепиковский район,Вельково,д,61610403191
10952,Рязанская область,Рязанский район,Окский,п,61634475101
11095,Рязанская область,Касимовский район,Кучуково,д,61608406111
11170,Рязанская область,Скопинский район,Кандауровка,д,61644496241
11215,Рязанская область,Рыбновский район,Калиновка,с,61627476106
11229,Рязанская область,Шиловский район,Николаевка,д,61658448141
11272,Рязанская область,Скопинский район,Свинушки,д,61644478121
11311,Рязанская область,Старожиловский район,Тугушево,д,61648460136
11435,Рязанская область,Клепиковский район,Малая Каменка,д,61610472186
11528,Рязанская область,Александро-Невский район,Калинино,с,61620445121
11565,Рязанская область,Рыбновский район,Лужки,с,61627404116
11594,Рязанская область,Скопинский район,Перики,д,61644478116
11603,Рязанская область,Шиловский район,Пустополье,с,61658430111
11618,Рязанская область,Ермишинский район,Гарь,п,61602151121
11686,Рязанская область,Михайловский район,Курлышево,д,61617415211
11703,Рязанская область,Касимовский район,Баженово,д,61608471116
11712,Рязанская область,Шацкий район,Купля,с,61656439101
11752,Рязанская область,Касимовский район,Поповка,д,61608406126
11799,Рязанская область,Сараевский район,Барышовка,д,61640403121
11983,Рязанская область,Рязанский район,Писцово,д,61634433151
12057,Рязанская область,Михайловский район,Заречье 1,с,61617491106
12265,Рязанская область,Клепиковский район,Алексеево,с,61610403101
12323,Рязанская область,Сараевский район,Карандеевка,д,61640451116
12485,Рязанская область,Спасский район,Емельяновка,с,61646498106
12586,Рязанская область,Старожиловский район,Киселево,с,61648151121
12636,Рязанская область,Ермишинский район,Иван-Арат,п,61602435126
12725,Рязанская область,Шацкий район,Карнаухово,с,61656406121
12735,Рязанская область,Ухоловский район,Коноплино,с,61650440101
12828,Рязанская область,Клепиковский район,Константиново,с,61610403136
12843,Рязанская область,Касимовский район,Балобаново,д,61608421116
12872,Рязанская область,Шацкий район,Новая,д,61656454226
13026,Рязанская область,Ухоловский район,Сухарево,д,61650455126
13105,Рязанская область,Сапожковский район,Березники,д,61637435101
13139,Рязанская область,Путятинский район,Петровка,д,61626403116
13195,Рязанская область,Пронский район,Гагино,д,61625405141
13266,Рязанская область,Захаровский район,Волынь,д,61604412106
13300,Рязанская область,Сасовский район,Нащи,с,61642420126
13310,Рязанская область,Милославский район,Липяги,с,61615432101
13323,Рязанская область,Милославский район,Спасское,ст,61615408111
13394,Рязанская область,Рязанский район,Матвеевка,д,61634475191
13535,Рязанская область,Пителинский район,Михайловка,д,61623425136
13590,Рязанская область,Путятинский район,Проточный,п,61626432121
13713,Рязанская область,Сараевский район,Запрудный,п,61640481151
13760,Рязанская область,Сасовский район,Малое Хреново,д,61642424131
13763,Рязанская область,Клепиковский район,Большое Курапово,д,61610415221
13856,Рязанская область,Рязанский район,Аблово,д,61634495116
13870,Рязанская область,Клепиковский район,Корякино,д,61610403161
13907,Рязанская область,Александро-Невский район,Каширин,п,61620450101
13999,Рязанская область,Шацкий район,Авдотьино,д,61656406146
14010,Рязанская область,Ухоловский район,Пронск,с,61650440116
14211,Рязанская область,Михайловский район,Огибалово,с,61617415121
14228,Рязанская область,Клепиковский район,Колесниково,д,61610448101
14279,Рязанская область,Касимовский район,Ламша,д,61608433136
14287,Рязанская область,Сасовский район,Агломазово,с,61642403101
14292,Рязанская область,Александро-Невский район,Ленино,с,61620410176
14311,Рязанская область,Чучковский район,Луговой,п,61653440191
14358,Рязанская область,Ряжский район,Погореловка,д,61630405171
14495,Рязанская область,Михайловский район,Центрального отделения с-за имени Ильича,п,61617418236
14502,Рязанская область,Ухоловский район,Корбашовские Выселки,п,61650450141
14545,Рязанская область,Касимовский район,Сеитово,д,61608462186
14598,Рязанская область,Скопинский район,Дубровщина,д,61644496216
14646,Рязанская область,Рыбновский район,Ларино,д,61627406121
14667,Рязанская область,Чучковский район,Шуваевка,п,61653420191
14851,Рязанская область,Касимовский район,Петрушово,д,61608418116
14900,Рязанская область,Рязанский район,Аксиньино,д,61634475171
14925,Рязанская область,Спасский район,Малино,д,61646498146
15038,Рязанская область,Шиловский район,Инякино,с,61658436101
15058,Рязанская область,Милославский район,Копи,п,61615456116
15062,Рязанская область,Город Скопин,Новиково,д,61715000106
15223,Рязанская область,Рыбновский район,Алешня,с,61627404101
15237,Рязанская область,Сараевский район,Ясли,п,61640469126
15249,Рязанская область,Рязанский район,Насурово,д,61634478151
15347,Рязанская область,Сараевский район,Красный Куст,д,61640415121
15375,Рязанская область,Клепиковский район,Кирьяково,д,61610418186
15376,Рязанская область,Сасовский район,Лосино-Островское,п,61642406126
15625,Рязанская область,Клепиковский район,Чесноково,д,61610487221
15690,Рязанская область,Сапожковский район,Фабричный,п,61637405151
16039,Рязанская область,Шиловский район,Непложа,д,61658430146
16120,Рязанская область,Сасовский район,Огарево-Почково,с,61642420121
16156,Рязанская область,Кадомский район,Давыдовка,п,61606420236
16258,Рязанская область,Скопинский район,Кочугурки,д,61644157141
16283,Рязанская область,Рыбновский район,Мантурово,д,61627406126
16342,Рязанская область,Спасский район,Ленинский,п,61646434141
16456,Рязанская область,Касимовский район,Левино,д,61608465126
16526,Рязанская область,Спасский район,Папушево,д,61646458121
16546,Рязанская область,Скопинский район,Горлово,с,61644415101
16630,Рязанская область,Чучковский район,Гремячево,с,61653450116
16634,Рязанская область,Скопинский район,Конюхово,д,61644496166
16655,Рязанская область,Сасовский район,Кошибеево,с,61642466106
16675,Рязанская область,Кораблинский район,Кикино,д,61612424106
16681,Рязанская область,Михайловский район,Электрострой,п,61617101001
16693,Рязанская область,Касимовский район,Николаевка,д,61608403116
16694,Рязанская область,Кораблинский район,Нижняя Ищередь,с,61612464106
16773,Рязанская область,Старожиловский район,Залипяжье,д,61648435106
16858,Рязанская область,Старожиловский район,Горловское,д,61648420181
16931,Рязанская область,Шиловский район,Кривцово,д,61658151111
16990,Рязанская область,Сараевский район,Которовка,д,61640412116
17076,Рязанская область,Чучковский район,Марьевка,д,61653440161
17170,Рязанская область,Касимовский район,Чинур,д,61608462161
17265,Рязанская область,Сараевский район,Кондровка,д,61640472131
17310,Рязанская область,Сапожковский район,Ряжские Выселки,д,61637410156
17331,Рязанская область,Клепиковский район,Горки,д,61610418221
17355,Рязанская область,Кораблинский район,Ибердский,п,61612424166
17379,Рязанская область,Сараевский район,Верхний Остров,д,61640481116
17488,Рязанская область,Касимовский район,Черновский,п,61608156121
17635,Рязанская область,Клепиковский район,Иньшино,д,61610421116
17653,Рязанская область,Спасский район,Бессоновка,д,61646455121
17675,Рязанская область,Рязанский район,Мушковатово,с,61634498106
17792,Рязанская область,Михайловский район,Печерниковские Выселки,с,61617439106
17795,Рязанская область,Ряжский район,Лыково,с,61630420126
17848,Рязанская область,Клепиковский район,Савино,д,61610421136
17857,Рязанская область,Скопинский район,Чулково,с,61644157131
17906,Рязанская область,Михайловский район,Ново-Николаевка,д,61617473181
17910,Рязанская область,Скопинский район,Победное,с,61644157121
17995,Рязанская область,Ухоловский район,Щурово,д,61650450131
18078,Рязанская область,Пронский район,Чулково,с,61625405121
18086,Рязанская область,Спасский район,Островки,с,61646461116
18137,Рязанская область,Чучковский район,Тюменево,с,61653450131
18157,Рязанская область,Рыбновский район,Токарево,с,61627476116
18159,Рязанская область,Рыбновский район,Клишино,д,61627476151
18245,Рязанская область,Шиловский район,Ясаковский,п,61658448171
18276,Рязанская область,Кораблинский район,Слободка,д,61612448136
18280,Рязанская область,Шиловский район,Смирновка,д,61658403151
18283,Рязанская область,Старожиловский район,Рязанские Сады,п,61648425101
18338,Рязанская область,Скопинский район,Кузьминка,д,61644496246
18366,Рязанская область,Ермишинский район,Мухины Поляны,д,61602405136
18438,Рязанская область,Ермишинский район,Вышуры,с,61602440121
18583,Рязанская область,Кадомский район,Болкино,д,61606420156
18724,Рязанская область,Сараевский район,Красное Поле,п,61640430151
18749,Рязанская область,Клепиковский район,Иваково,д,61610475121
18814,Рязанская область,Рыбновский район,Нагорное,д,61627408126
18831,Рязанская область,Шацкий район,Ужово,д,61656493131
18857,Рязанская область,Клепиковский район,Пилево,ст,61610415106
19045,Рязанская область,Клепиковский район,Артемово,д,61610421186
19196,Рязанская область,Рыбновский район,Ивашково,с,61627416106
19207,Рязанская область,Сараевский район,Пущино,д,61640430121
19250,Рязанская область,Клепиковский район,Неверово,д,61610421176
19271,Рязанская область,Клепиковский район,Коробово,д,61610472161
19299,Рязанская область,Клепиковский район,Нефедово,д,61610415151
19320,Рязанская область,Клепиковский район,Коренево,д,61610475106
19375,Рязанская область,Сасовский район,Фроловское,с,61642418116
19420,Рязанская область,Спасский район,Курино,д,61646485126
19477,Рязанская область,Захаровский район,Поливаново,с,61604415126
19486,Рязанская область,Милославский район,Милославское,рп,61615151051
19496,Рязанская область,Михайловский район,Арсеньево,д,61617491151
19616,Рязанская область,Кораблинский район,Дроково,д,61612484136
19705,Рязанская область,Клепиковский район,Тамышево,д,61610451131
19713,Рязанская область,Шиловский район,Первомайский,п,61658481121
19782,Рязанская область,Рязанский район,Гряцкое,д,61634430116
19793,Рязанская область,Милославский район,Чернавские Выселки,д,61615472121
19817,Рязанская область,Чучковский район,Пехорка,д,61653405141
19851,Рязанская область,Сапожковский район,Михеи,с,61637405101
19917,Рязанская область,Касимовский район,Коростино,д,61608439141
20337,Рязанская область,Кадомский район,Енкаево,с,61606410101
20340,Рязанская область,Чучковский район,Дудкино,с,61653450121
20465,Рязанская область,Александро-Невский район,Ряссы,д,61620410151
20482,Рязанская область,Рязанский район,Арсентьево,д,61634475176
20489,Рязанская область,Рязанский район,Льгово,с,61634460101
20633,Рязанская область,Клепиковский район,Прасковьино,д,61610415271
20670,Рязанская область,Касимовский район,Лався,с,61608154106
21109,Рязанская область,Захаровский район,Новое Зимино,д,61604465111
21151,Рязанская область,Сараевский район,Дубовка,д,61640412106
21204,Рязанская область,Скопинский район,Воздвиженка,д,61644412131
21449,Рязанская область,Клепиковский район,Бахметьево,д,61610475141
21458,Рязанская область,Скопинский район,Павелец-2,п/ст,61644154051
21459,Рязанская область,Пителинский район,Станищи,с,61623450106
21533,Рязанская область,Рязанский район,Шелудино 1,д,61634457146
21617,Рязанская область,Александро-Невский район,Владимировка,д,61620405121
21673,Рязанская область,Старожиловский район,Ромоданово,с,61648151126
21708,Рязанская область,Спасский район,Старо-Рязанские Дворики,п,61646455126
22036,Рязанская область,Шацкий район,Пролетарский,п,61656406166
22092,Рязанская область,Шиловский район,Ибредь,д,61658473101
22185,Рязанская область,Кадомский район,Панская,д,61606420141
22422,Рязанская область,Чучковский район,Ореховка,д,61653440171
22490,Рязанская область,Михайловский район,Комаревка,д,61617491146
22516,Рязанская область,Ухоловский район,Свобода,п,61650450136
22701,Рязанская область,Чучковский район,Шеметово,с,61653405121
22720,Рязанская область,Старожиловский район,Кореньки,д,61648440141
22828,Рязанская область,Касимовский район,Жуково,д,61608403111
22861,Рязанская область,Сасовский район,Серовское,д,61642439116
22882,Рязанская область,Шиловский район,Чембар,д,61658430151
23181,Рязанская область,Шиловский район,Новая Деревня,д,61658157106
23188,Рязанская область,Рыбновский район,Чемрово,д,61627464116
23200,Рязанская область,Скопинский район,Ключеревка,д,61644496231
23264,Рязанская область,Пителинский район,Краснопартизанский,п,61623420136
23270,Рязанская область,Старожиловский район,Старые Бобровинки,д,61648420206
23311,Рязанская область,Кораблинский район,Новоселово,д,61612432116
23361,Рязанская область,Шиловский район,Зеленый Бор,п,61658157136
23373,Рязанская область,Сараевский район,Озерки,с,61640415106
23444,Рязанская область,Михайловский район,Хрястово,д,61617415186
23471,Рязанская область,Шиловский район,Илебники,с,61658445106
23482,Рязанская область,Сапожковский район,Ванино,д,61637410136
23488,Рязанская область,Чучковский район,Лаврешин,п,61653420156
23520,Рязанская область,Клепиковский район,Клин,д,61610415236
23521,Рязанская область,Шиловский район,Салаур,д,61658445146
23531,Рязанская область,Спасский район,Большие Лупяжи,д,61646498161
23586,Рязанская область,Клепиковский район,Гурино,д,61610472121
23678,Рязанская область,Шацкий район,Важная,д,61656439121
23701,Рязанская область,Рязанский район,Подлесное,с,61634478111
23741,Рязанская область,Сасовский район,Черная Речка,д,61642415131
23979,Рязанская область,Касимовский район,Тимохино,д,61608430116
24098,Рязанская область,Шацкий район,Боголюбовка,д,61656433111
24133,Рязанская область,Скопинский район,Шелемишевские Хутора,д,61644496256
24205,Рязанская область,Путятинский район,Поликаново,д,61626406131
24211,Рязанская область,Рязанский район,Алеканово,с,61634427106
24335,Рязанская область,Ряжский район,Шереметьево,с,61630405136
24351,Рязанская область,Кадомский район,Кочемирово,с,61606430151
24407,Рязанская область,Клепиковский район,Малое Жабье,д,61610487236
24522,Рязанская область,Касимовский район,Уланова Гора,д,61608406141
24582,Рязанская область,Шацкий район,Богданово,д,61656421126
24630,Рязанская область,Александро-Невский район,Дмитриевский Боровок,с,61620450126
24799,Рязанская область,Рязанский район,Букрино,с,61634485111
24835,Рязанская область,Рязанский район,Хирино,д,61634498136
24861,Рязанская область,Сасовский район,Смирновка,п,61642466156
24906,Рязанская область,Спасский район,Огородниковские Выселки,п,61646476146
24929,Рязанская область,Шиловский район,Фролово,д,61658448146
25000,Рязанская область,Рыбновский район,Слобода,д,61627424166
25110,Рязанская область,Шиловский район,Ямской,п,61658157131
25145,Рязанская область,Скопинский район,Полянские Выселки,д,61644496136
25222,Рязанская область,Сараевский район,Брусяная 2,д,61640424156
25251,Рязанская область,Клепиковский район,Акулово,д,61610403221
25282,Рязанская область,Сараевский район,Ясная Поляна,д,61640481141
25330,Рязанская область,Милославский район,Федяевка,д,61615428161
25401,Рязанская область,Шацкий район,Инная Слобода,с,61656493106
25434,Рязанская область,Михайловский район,Саларьево,д,61617467171
25436,Рязанская область,Михайловский район,Иваньково,д,61617415206
25494,Рязанская область,Сапожковский район,Глушицы,п,61637151116
25506,Рязанская область,Рязанский район,Протасово,д,61634475131
25547,Рязанская область,Сараевский район,Дмитриевка,д,61640403176
25638,Рязанская область,Милославский район,Кочуры,с,61615428101
25684,Рязанская область,Захаровский район,Таракановка,д,61604415201
25822,Рязанская область,Старожиловский район,Свиридовка,д,61648440156
25823,Рязанская область,Захаровский район,Суворовка,д,61604415176
26013,Рязанская область,Старожиловский район,Красно-Андреевский,п,61648438106
26107,Рязанская область,Скопинский район,Новое,с,61644412116
26110,Рязанская область,Старожиловский район,Хрущево,д,61648438151
26119,Рязанская область,Шацкий район,Губколь,д,61656457116
26177,Рязанская область,Милославский район,Дубровка,д,61615428136
26264,Рязанская область,Старожиловский район,Гребнево,с,61648420101
26279,Рязанская область,Спасский район,Спиртзаводской,п,61646434161
26396,Рязанская область,Чучковский район,Калинино,д,61653440151
